url_path,views_total,views_unique
/George-R-Heath/NanoLocz,69,19
/George-R-Heath/NanoLocz/releases,22,13
/George-R-Heath/NanoLocz/tree/main/Example%20Data,10,4
/George-R-Heath/NanoLocz/tree/main,7,3
/George-R-Heath/NanoLocz/releases/tag/v1.3.0,6,4
/George-R-Heath/NanoLocz/issues,5,3
/George-R-Heath/NanoLocz/pulse,4,1
/George-R-Heath/NanoLocz/graphs/traffic,3,1
/George-R-Heath/NanoLocz/tree/main/Example%20Data/Example_NanoRacer%20(jpk),3,1
/George-R-Heath/NanoLocz/tree/main/Example%20Data/Example%20FastScan%20series,2,2
