time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-10 00:00:00+00:00,4.0,2.0,17,2
2025-03-11 00:00:00+00:00,2.0,2.0,25,4
2025-03-12 00:00:00+00:00,5.0,2.0,18,5
2025-03-13 00:00:00+00:00,1.0,1.0,19,3
2025-03-14 00:00:00+00:00,1.0,1.0,59,9
2025-03-15 00:00:00+00:00,3.0,2.0,8,2
2025-03-16 00:00:00+00:00,1.0,1.0,7,2
2025-03-17 00:00:00+00:00,1.0,1.0,31,4
2025-03-18 00:00:00+00:00,5.0,2.0,30,8
2025-03-19 00:00:00+00:00,6.0,3.0,27,10
2025-03-20 00:00:00+00:00,5.0,3.0,7,1
2025-03-21 00:00:00+00:00,5.0,2.0,35,3
2025-03-22 00:00:00+00:00,4.0,2.0,5,1
2025-03-23 00:00:00+00:00,,,4,1
