time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-24 00:00:00+00:00,1.0,1.0,15,4
2025-01-25 00:00:00+00:00,1.0,1.0,2,2
2025-01-26 00:00:00+00:00,,,4,3
2025-01-27 00:00:00+00:00,1.0,1.0,16,4
2025-01-28 00:00:00+00:00,,,13,5
2025-01-29 00:00:00+00:00,1.0,1.0,8,5
2025-01-30 00:00:00+00:00,6.0,3.0,7,3
2025-01-31 00:00:00+00:00,1.0,1.0,11,7
2025-02-01 00:00:00+00:00,4.0,2.0,20,3
2025-02-02 00:00:00+00:00,5.0,2.0,3,2
2025-02-03 00:00:00+00:00,5.0,3.0,8,3
2025-02-04 00:00:00+00:00,1.0,1.0,66,4
2025-02-05 00:00:00+00:00,5.0,2.0,49,4
2025-02-06 00:00:00+00:00,1.0,1.0,9,1
