time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-08 00:00:00+00:00,4,4,9,6
2025-10-09 00:00:00+00:00,2,2,6,2
2025-10-10 00:00:00+00:00,2,2,2,1
2025-10-11 00:00:00+00:00,5,5,1,1
2025-10-12 00:00:00+00:00,2,2,5,2
2025-10-13 00:00:00+00:00,3,3,12,6
2025-10-14 00:00:00+00:00,13,3,5,3
2025-10-15 00:00:00+00:00,10,4,12,3
2025-10-16 00:00:00+00:00,1,1,16,3
2025-10-17 00:00:00+00:00,7,2,8,2
2025-10-18 00:00:00+00:00,14,4,2,2
2025-10-19 00:00:00+00:00,8,3,5,2
2025-10-20 00:00:00+00:00,2,2,18,3
2025-10-21 00:00:00+00:00,20,5,18,4
