time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-09 00:00:00+00:00,1,1,38,3
2024-01-10 00:00:00+00:00,3,2,68,7
2024-01-11 00:00:00+00:00,1,1,12,4
2024-01-12 00:00:00+00:00,2,2,12,3
2024-01-13 00:00:00+00:00,1,1,5,2
2024-01-14 00:00:00+00:00,1,1,1,1
2024-01-15 00:00:00+00:00,3,3,20,7
2024-01-16 00:00:00+00:00,1,1,34,7
2024-01-17 00:00:00+00:00,3,2,24,4
2024-01-18 00:00:00+00:00,1,1,52,7
2024-01-19 00:00:00+00:00,1,1,7,4
2024-01-20 00:00:00+00:00,1,1,14,3
2024-01-21 00:00:00+00:00,1,1,4,3
2024-01-22 00:00:00+00:00,2,2,20,5
