time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,44,17,0,0
2026-04-26 00:00:00+00:00,32,10,0,0
2026-04-27 00:00:00+00:00,15,6,6,4
2026-04-28 00:00:00+00:00,7,2,2,2
2026-04-29 00:00:00+00:00,22,10,3,3
2026-04-30 00:00:00+00:00,7,2,5,1
2026-05-01 00:00:00+00:00,39,9,2,2
2026-05-02 00:00:00+00:00,20,6,2,1
2026-05-03 00:00:00+00:00,40,13,4,1
2026-05-04 00:00:00+00:00,8,3,0,0
2026-05-05 00:00:00+00:00,17,7,1,1
2026-05-06 00:00:00+00:00,9,4,4,2
2026-05-07 00:00:00+00:00,11,6,6,4
2026-05-08 00:00:00+00:00,11,6,8,4
