time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-01 00:00:00+00:00,5.0,2.0,18,5
2024-05-02 00:00:00+00:00,1.0,1.0,55,5
2024-05-03 00:00:00+00:00,7.0,4.0,12,2
2024-05-04 00:00:00+00:00,2.0,2.0,4,1
2024-05-05 00:00:00+00:00,5.0,2.0,6,2
2024-05-06 00:00:00+00:00,2.0,2.0,16,3
2024-05-07 00:00:00+00:00,5.0,2.0,23,2
2024-05-08 00:00:00+00:00,5.0,2.0,12,4
2024-05-09 00:00:00+00:00,1.0,1.0,14,3
2024-05-10 00:00:00+00:00,1.0,1.0,32,4
2024-05-11 00:00:00+00:00,5.0,2.0,4,2
2024-05-12 00:00:00+00:00,1.0,1.0,5,2
2024-05-13 00:00:00+00:00,1.0,1.0,27,5
2024-05-14 00:00:00+00:00,,,44,6
