referrer,views_total,views_unique
github.com,35,5
Bing,7,4
Google,7,4
george-r-heath.github.io,6,4
onlinelibrary.wiley.com,4,2
heath-afm-lab.github.io,3,1
chatgpt.com,2,1
tooomm.github.io,1,1
