time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-10 00:00:00+00:00,1.0,1.0,42,6
2024-06-11 00:00:00+00:00,5.0,2.0,18,2
2024-06-12 00:00:00+00:00,6.0,3.0,41,4
2024-06-13 00:00:00+00:00,1.0,1.0,30,3
2024-06-14 00:00:00+00:00,5.0,3.0,88,5
2024-06-15 00:00:00+00:00,2.0,1.0,15,2
2024-06-16 00:00:00+00:00,,,2,2
2024-06-17 00:00:00+00:00,5.0,2.0,36,5
2024-06-18 00:00:00+00:00,5.0,2.0,20,5
2024-06-19 00:00:00+00:00,1.0,1.0,9,6
2024-06-20 00:00:00+00:00,1.0,1.0,13,4
2024-06-21 00:00:00+00:00,3.0,1.0,46,4
2024-06-22 00:00:00+00:00,2.0,2.0,4,2
2024-06-23 00:00:00+00:00,,,14,2
