url_path,views_total,views_unique
/George-R-Heath/NanoLocz,49,16
/George-R-Heath/NanoLocz/graphs/traffic,23,1
/George-R-Heath/NanoLocz/pulse,19,1
/George-R-Heath/NanoLocz/tree/main/NanoLocz%20for%20Mac,17,2
/George-R-Heath/NanoLocz/blob/main/NanoLocz%20Windows/Install%20File/MyAppInstaller_web.exe,14,4
/George-R-Heath/NanoLocz/tree/main/NanoLocz%20Windows/Install%20File,10,5
/George-R-Heath/NanoLocz/tree/main/NanoLocz%20for%20Mac/for_redistribution_files_only,10,2
/George-R-Heath/NanoLocz/tree/main/scripts,10,2
/George-R-Heath/NanoLocz/blob/main/README.md,8,1
/George-R-Heath/NanoLocz/tree/main/NanoLocz%20for%20Mac/Install%20File/MyAppInstaller_web.app/Contents,7,2
