time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-16 00:00:00+00:00,1,1,7,2
2025-03-17 00:00:00+00:00,1,1,31,4
2025-03-18 00:00:00+00:00,5,2,30,8
2025-03-19 00:00:00+00:00,6,3,27,10
2025-03-20 00:00:00+00:00,5,3,7,1
2025-03-21 00:00:00+00:00,5,2,35,3
2025-03-22 00:00:00+00:00,4,2,5,1
2025-03-23 00:00:00+00:00,3,2,4,1
2025-03-24 00:00:00+00:00,4,2,31,4
2025-03-25 00:00:00+00:00,8,3,28,4
2025-03-26 00:00:00+00:00,1,1,28,5
2025-03-27 00:00:00+00:00,4,3,23,3
2025-03-28 00:00:00+00:00,9,8,131,7
2025-03-29 00:00:00+00:00,2,2,7,3
