time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-29 00:00:00+00:00,,,15,8
2024-10-30 00:00:00+00:00,,,22,6
2024-10-31 00:00:00+00:00,1.0,1.0,49,14
2024-11-01 00:00:00+00:00,3.0,3.0,32,5
2024-11-02 00:00:00+00:00,1.0,1.0,4,3
2024-11-03 00:00:00+00:00,,,4,1
2024-11-04 00:00:00+00:00,3.0,3.0,12,4
2024-11-05 00:00:00+00:00,,,24,10
2024-11-06 00:00:00+00:00,1.0,1.0,9,2
2024-11-07 00:00:00+00:00,,,23,8
2024-11-08 00:00:00+00:00,4.0,1.0,10,4
2024-11-09 00:00:00+00:00,,,4,2
2024-11-10 00:00:00+00:00,,,2,1
2024-11-11 00:00:00+00:00,,,13,3
