time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-23 00:00:00+00:00,1.0,1.0,17,2
2024-03-24 00:00:00+00:00,1.0,1.0,3,1
2024-03-25 00:00:00+00:00,1.0,1.0,12,6
2024-03-26 00:00:00+00:00,1.0,1.0,24,3
2024-03-27 00:00:00+00:00,1.0,1.0,10,6
2024-03-28 00:00:00+00:00,2.0,2.0,60,17
2024-03-29 00:00:00+00:00,1.0,1.0,12,6
2024-03-30 00:00:00+00:00,1.0,1.0,13,3
2024-03-31 00:00:00+00:00,1.0,1.0,35,4
2024-04-01 00:00:00+00:00,1.0,1.0,16,5
2024-04-02 00:00:00+00:00,1.0,1.0,32,5
2024-04-03 00:00:00+00:00,1.0,1.0,9,4
2024-04-04 00:00:00+00:00,1.0,1.0,20,4
2024-04-05 00:00:00+00:00,,,3,2
