time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-01 00:00:00+00:00,1,1,6,2
2025-06-02 00:00:00+00:00,2,2,23,8
2025-06-03 00:00:00+00:00,1,1,77,6
2025-06-04 00:00:00+00:00,4,2,51,11
2025-06-05 00:00:00+00:00,4,3,27,7
2025-06-06 00:00:00+00:00,5,2,25,5
2025-06-07 00:00:00+00:00,3,3,5,3
2025-06-08 00:00:00+00:00,5,2,16,2
2025-06-09 00:00:00+00:00,6,3,19,4
2025-06-10 00:00:00+00:00,5,3,28,4
2025-06-11 00:00:00+00:00,5,5,26,4
2025-06-12 00:00:00+00:00,6,4,26,4
2025-06-13 00:00:00+00:00,7,7,17,6
2025-06-14 00:00:00+00:00,1,1,5,2
