time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-06 00:00:00+00:00,3,3,94,7
2024-02-07 00:00:00+00:00,3,2,13,4
2024-02-08 00:00:00+00:00,3,3,10,3
2024-02-09 00:00:00+00:00,2,2,14,2
2024-02-10 00:00:00+00:00,1,1,3,1
2024-02-11 00:00:00+00:00,1,1,1,1
2024-02-12 00:00:00+00:00,2,2,41,3
2024-02-13 00:00:00+00:00,1,1,9,1
2024-02-14 00:00:00+00:00,1,1,11,5
2024-02-15 00:00:00+00:00,1,1,15,3
2024-02-16 00:00:00+00:00,1,1,70,5
2024-02-17 00:00:00+00:00,1,1,5,3
2024-02-18 00:00:00+00:00,1,1,1,1
2024-02-19 00:00:00+00:00,1,1,7,2
