time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-02 00:00:00+00:00,6.0,3.0,6,4
2025-05-03 00:00:00+00:00,6.0,3.0,3,2
2025-05-04 00:00:00+00:00,5.0,2.0,1,1
2025-05-05 00:00:00+00:00,1.0,1.0,2,1
2025-05-06 00:00:00+00:00,6.0,2.0,14,5
2025-05-07 00:00:00+00:00,1.0,1.0,15,4
2025-05-08 00:00:00+00:00,6.0,3.0,7,4
2025-05-09 00:00:00+00:00,3.0,2.0,8,2
2025-05-10 00:00:00+00:00,2.0,2.0,2,2
2025-05-11 00:00:00+00:00,1.0,1.0,1,1
2025-05-12 00:00:00+00:00,6.0,3.0,20,4
2025-05-13 00:00:00+00:00,15.0,10.0,218,3
2025-05-14 00:00:00+00:00,2.0,2.0,22,3
2025-05-15 00:00:00+00:00,,,29,8
