time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-03 00:00:00+00:00,1,1,34,4
2023-10-04 00:00:00+00:00,2,2,18,6
2023-10-05 00:00:00+00:00,1,1,87,4
2023-10-06 00:00:00+00:00,13,2,25,4
2023-10-07 00:00:00+00:00,1,1,4,1
2023-10-08 00:00:00+00:00,1,1,4,1
2023-10-09 00:00:00+00:00,4,3,32,3
2023-10-10 00:00:00+00:00,3,2,6,3
2023-10-11 00:00:00+00:00,2,2,12,4
2023-10-12 00:00:00+00:00,1,1,11,3
2023-10-13 00:00:00+00:00,5,2,11,4
2023-10-14 00:00:00+00:00,1,1,12,2
2023-10-15 00:00:00+00:00,1,1,2,1
2023-10-16 00:00:00+00:00,2,2,7,2
