time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,18,9,26,8
2026-01-27 00:00:00+00:00,2,2,9,4
2026-01-28 00:00:00+00:00,4,4,8,7
2026-01-29 00:00:00+00:00,6,6,6,5
2026-01-30 00:00:00+00:00,5,5,5,4
2026-01-31 00:00:00+00:00,8,4,2,2
2026-02-01 00:00:00+00:00,20,8,0,0
2026-02-02 00:00:00+00:00,13,9,15,9
2026-02-03 00:00:00+00:00,9,5,9,4
2026-02-04 00:00:00+00:00,10,6,8,6
2026-02-05 00:00:00+00:00,9,5,1,1
2026-02-06 00:00:00+00:00,7,3,8,4
2026-02-07 00:00:00+00:00,10,6,1,1
2026-02-08 00:00:00+00:00,9,5,3,3
